# Undirected graph: redesocial.txt
# Grafo nao direcionado para redes sociais
# Nodes: 5000 Edges: 375000
# FromNodeId	ToNodeId
0	14
0	59
0	81
0	166
0	191
0	216
0	221
0	280
0	319
0	339
0	375
0	445
0	482
0	495
0	553
0	581
0	590
0	643
0	729
0	763
0	852
0	856
0	862
0	904
0	967
0	978
0	979
0	1040
0	1063
0	1115
0	1175
0	1182
0	1184
0	1195
0	1201
0	1280
0	1287
0	1319
0	1330
0	1341
0	1353
0	1368
0	1391
0	1427
0	1490
0	1501
0	1507
0	1531
0	1534
0	1545
0	1550
0	1614
0	1616
0	1620
0	1723
0	1742
0	1819
0	1830
0	1835
0	1884
0	1901
0	1929
0	1942
0	1988
0	1997
0	2004
0	2018
0	2036
0	2079
0	2096
0	2104
0	2358
0	2359
0	2385
0	2403
0	2424
0	2427
0	2431
0	2440
0	2473
0	2497
0	2556
0	2572
0	2577
0	2596
0	2657
0	2721
0	2722
0	2726
0	2756
0	2787
0	2824
0	2831
0	2859
0	2934
0	2960
0	2974
0	2982
0	3005
0	3025
0	3029
0	3042
0	3147
0	3158
0	3259
0	3289
0	3292
0	3339
0	3364
0	3413
0	3420
0	3436
0	3450
0	3486
0	3512
0	3559
0	3581
0	3667
0	3726
0	3762
0	3763
0	3787
0	3795
0	3823
0	3868
0	3882
0	3888
0	3907
0	3942
0	3970
0	3987
0	4030
0	4056
0	4061
0	4062
0	4078
0	4108
0	4130
0	4143
0	4319
0	4322
0	4338
0	4368
0	4396
0	4400
0	4410
0	4468
0	4483
0	4514
0	4528
0	4541
0	4703
0	4726
0	4745
0	4758
0	4786
0	4807
0	4827
0	4833
0	4849
0	4850
0	4887
0	4892
0	4923
0	4955
0	4958
0	4960
0	4967
1	59
1	86
1	104
1	126
1	157
1	209
1	214
1	217
1	284
1	367
1	391
1	400
1	407
1	426
1	464
1	506
1	542
1	608
1	609
1	611
1	641
1	670
1	687
1	742
1	804
1	825
1	842
1	845
1	879
1	892
1	914
1	966
1	1002
1	1060
1	1107
1	1125
1	1132
1	1136
1	1166
1	1181
1	1239
1	1245
1	1313
1	1351
1	1360
1	1361
1	1372
1	1388
1	1446
1	1447
1	1455
1	1500
1	1535
1	1610
1	1623
1	1627
1	1646
1	1688
1	1717
1	1770
1	1775
1	1825
1	1839
1	1862
1	1873
1	1880
1	1989
1	1993
1	2023
1	2089
1	2095
1	2101
1	2132
1	2179
1	2254
1	2325
1	2385
1	2388
1	2457
1	2523
1	2530
1	2574
1	2739
1	2763
1	2774
1	2775
1	2786
1	2829
1	2832
1	2837
1	2842
1	2900
1	2913
1	2924
1	2925
1	2934
1	2985
1	3032
1	3108
1	3156
1	3184
1	3263
1	3271
1	3375
1	3472
1	3481
1	3615
1	3649
1	3700
1	3867
1	3885
1	3924
1	3938
1	3958
1	4051
1	4104
1	4135
1	4136
1	4160
1	4214
1	4229
1	4264
1	4279
1	4381
1	4475
1	4477
1	4484
1	4496
1	4501
1	4543
1	4570
1	4669
1	4679
1	4741
1	4744
1	4758
1	4764
1	4778
1	4782
1	4787
1	4807
1	4850
1	4986
2	9
2	47
2	148
2	157
2	182
2	206
2	218
2	235
2	267
2	333
2	340
2	391
2	411
2	424
2	433
2	480
2	525
2	540
2	545
2	564
2	575
2	604
2	673
2	684
2	721
2	726
2	731
2	750
2	787
2	803
2	835
2	894
2	946
2	961
2	981
2	1008
2	1018
2	1082
2	1093
2	1196
2	1208
2	1279
2	1285
2	1329
2	1340
2	1418
2	1509
2	1513
2	1543
2	1557
2	1559
2	1564
2	1592
2	1648
2	1685
2	1691
2	1709
2	1723
2	1763
2	1771
2	1788
2	1813
2	1858
2	1862
2	1869
2	1875
2	1905
2	1908
2	1967
2	1983
2	1987
2	2002
2	2039
2	2085
2	2169
2	2219
2	2281
2	2282
2	2286
2	2300
2	2329
2	2381
2	2407
2	2535
2	2560
2	2589
2	2635
2	2670
2	2701
2	2704
2	2739
2	2764
2	2771
2	2782
2	2809
2	2831
2	2846
2	2876
2	2879
2	2968
2	2988
2	2998
2	3003
2	3074
2	3091
2	3202
2	3203
2	3212
2	3234
2	3355
2	3506
2	3567
2	3600
2	3603
2	3636
2	3652
2	3667
2	3677
2	3678
2	3686
2	3703
2	3738
2	3811
2	3822
2	3842
2	3930
2	3939
2	4012
2	4103
2	4107
2	4120
2	4122
2	4130
2	4158
2	4176
2	4200
2	4203
2	4219
2	4227
2	4236
2	4289
2	4309
2	4349
2	4392
2	4429
2	4498
2	4504
2	4531
2	4538
2	4593
2	4639
2	4661
2	4702
2	4703
2	4704
2	4736
2	4767
2	4798
2	4882
2	4884
2	4911
2	4935
3	89
3	93
3	129
3	175
3	195
3	224
3	256
3	332
3	344
3	358
3	370
3	378
3	432
3	466
3	544
3	559
3	608
3	648
3	653
3	704
3	808
3	841
3	905
3	953
3	964
3	976
3	979
3	1007
3	1008
3	1021
3	1034
3	1104
3	1147
3	1159
3	1227
3	1245
3	1250
3	1303
3	1326
3	1380
3	1425
3	1472
3	1507
3	1522
3	1561
3	1565
3	1615
3	1626
3	1643
3	1708
3	1725
3	1743
3	1750
3	1772
3	1774
3	1836
3	1862
3	1874
3	1908
3	1910
3	1915
3	1921
3	1945
3	1978
3	1992
3	2052
3	2060
3	2064
3	2107
3	2137
3	2200
3	2249
3	2253
3	2284
3	2321
3	2323
3	2333
3	2363
3	2396
3	2431
3	2451
3	2479
3	2577
3	2691
3	2707
3	2722
3	2758
3	2791
3	2805
3	2810
3	2864
3	2933
3	3005
3	3023
3	3096
3	3135
3	3144
3	3169
3	3170
3	3215
3	3250
3	3253
3	3263
3	3267
3	3292
3	3309
3	3325
3	3457
3	3507
3	3540
3	3627
3	3656
3	3665
3	3673
3	3674
3	3675
3	3676
3	3678
3	3685
3	3694
3	3778
3	3857
3	3869
3	3892
3	3895
3	3944
3	3946
3	3951
3	3967
3	3985
3	4031
3	4036
3	4039
3	4070
3	4128
3	4137
3	4155
3	4181
3	4225
3	4276
3	4310
3	4311
3	4366
3	4379
3	4381
3	4462
3	4519
3	4554
3	4615
3	4674
3	4710
3	4726
3	4756
3	4788
3	4796
3	4854
3	4878
3	4883
3	4918
3	4930
3	4932
4	15
4	40
4	132
4	141
4	155
4	167
4	258
4	296
4	317
4	432
4	486
4	527
4	563
4	582
4	645
4	646
4	667
4	670
4	687
4	719
4	805
4	808
4	866
4	875
4	915
4	917
4	928
4	968
4	1041
4	1057
4	1067
4	1095
4	1096
4	1143
4	1205
4	1217
4	1255
4	1359
4	1413
4	1429
4	1467
4	1505
4	1518
4	1540
4	1543
4	1559
4	1618
4	1621
4	1623
4	1660
4	1723
4	1762
4	1804
4	1807
4	1849
4	1873
4	1947
4	1948
4	1963
4	2018
4	2026
4	2069
4	2150
4	2189
4	2201
4	2208
4	2276
4	2305
4	2313
4	2336
4	2360
4	2439
4	2464
4	2572
4	2617
4	2676
4	2686
4	2713
4	2719
4	2731
4	2741
4	2758
4	2835
4	2856
4	2900
4	2944
4	2958
4	2966
4	2977
4	2998
4	3031
4	3058
4	3064
4	3147
4	3238
4	3294
4	3298
4	3305
4	3325
4	3455
4	3462
4	3575
4	3603
4	3634
4	3667
4	3696
4	3781
4	3794
4	3828
4	3849
4	3891
4	3892
4	3946
4	4011
4	4021
4	4027
4	4097
4	4098
4	4127
4	4151
4	4152
4	4262
4	4263
4	4323
4	4324
4	4349
4	4390
4	4446
4	4489
4	4522
4	4536
4	4655
4	4680
4	4685
4	4700
4	4710
4	4723
4	4780
4	4890
4	4894
4	4927
4	4969
5	44
5	52
5	69
5	155
5	276
5	300
5	326
5	340
5	368
5	420
5	451
5	550
5	605
5	617
5	707
5	721
5	727
5	776
5	780
5	803
5	810
5	814
5	896
5	897
5	948
5	979
5	985
5	995
5	1078
5	1109
5	1124
5	1142
5	1287
5	1295
5	1318
5	1342
5	1373
5	1384
5	1395
5	1416
5	1448
5	1526
5	1576
5	1602
5	1752
5	1771
5	1804
5	1848
5	1867
